"device_id","datetime","CO","status1","CO2","status2","NOx","status3","O3","status4","PM2_5","status5","AQHI","status6","NO2","status7","NO","status8"
"30005","2018-02-01 08:57:22","284.503",NULL,NULL,NULL,NULL,NULL,"25.6351",NULL,"24.35",NULL,NULL,NULL,"10.1013",NULL,"9.53718",NULL
"30005","2018-02-01 09:01:22","324.262",NULL,NULL,NULL,NULL,NULL,"28.0708",NULL,"27.09",NULL,NULL,NULL,"11.8433",NULL,"9.57573",NULL
"30005","2018-02-01 09:06:22","280.468",NULL,NULL,NULL,NULL,NULL,"26.774",NULL,"26.97",NULL,NULL,NULL,"9.91533",NULL,"9.22332",NULL
"30005","2018-02-01 09:08:27","375.606",NULL,NULL,NULL,NULL,NULL,"27.776",NULL,"25.23",NULL,NULL,NULL,"10.5017",NULL,"9.29857",NULL
"30005","2018-02-01 09:09:22","326.934",NULL,NULL,NULL,NULL,NULL,"27.2242",NULL,"26.16",NULL,NULL,NULL,"10.288",NULL,"9.35796",NULL
"30005","2018-02-01 09:11:30","271.132",NULL,NULL,NULL,NULL,NULL,"26.2643",NULL,"25.1",NULL,NULL,NULL,"9.59032",NULL,"9.27999",NULL
"30005","2018-02-01 09:12:22","300.742",NULL,NULL,NULL,NULL,NULL,"26.9054",NULL,"25.11",NULL,NULL,NULL,"10.4084",NULL,"11.3638",NULL
"30005","2018-02-01 09:15:24","332.392",NULL,NULL,NULL,NULL,NULL,"28.5717",NULL,"28.01",NULL,NULL,NULL,"10.9568",NULL,"9.8803",NULL
"30005","2018-02-01 09:19:22","261.109",NULL,NULL,NULL,NULL,NULL,"27.3988",NULL,"25.47",NULL,NULL,NULL,"8.44679",NULL,"9.72555",NULL
"30005","2018-02-01 09:22:22","284.207",NULL,NULL,NULL,NULL,NULL,"27.5995",NULL,"25.79",NULL,NULL,NULL,"8.37949",NULL,"9.20335",NULL
"30005","2018-02-01 09:25:31","293.806",NULL,NULL,NULL,NULL,NULL,"27.6485",NULL,"24.48",NULL,NULL,NULL,"8.59159",NULL,"9.40885",NULL
"30005","2018-02-01 09:29:22","300.381",NULL,NULL,NULL,NULL,NULL,"29.4958",NULL,"25.67",NULL,NULL,NULL,"9.17869",NULL,"9.40885",NULL
"30005","2018-02-01 09:33:22","305.978",NULL,NULL,NULL,NULL,NULL,"28.2612",NULL,"24.61",NULL,NULL,NULL,"9.15029",NULL,"10.1183",NULL
"30005","2018-02-01 09:37:22","287.92",NULL,NULL,NULL,NULL,NULL,"28.0417",NULL,"25.92",NULL,NULL,NULL,"8.77611",NULL,"9.48171",NULL
"30005","2018-02-01 09:40:22","308.268",NULL,NULL,NULL,NULL,NULL,"27.3012",NULL,"25.67",NULL,NULL,NULL,"9.0213",NULL,"9.43174",NULL
"30005","2018-02-01 09:44:22","285.335",NULL,NULL,NULL,NULL,NULL,"26.0095",NULL,"29.26",NULL,NULL,NULL,"9.10232",NULL,"9.62403",NULL
"30005","2018-02-01 09:46:22","268.876",NULL,NULL,NULL,NULL,NULL,"26.9785",NULL,"29.72",NULL,NULL,NULL,"8.88508",NULL,"9.11112",NULL
"30005","2018-02-01 09:51:22","318.802",NULL,NULL,NULL,NULL,NULL,"28.8504",NULL,"24.1",NULL,NULL,NULL,"10.1728",NULL,"10.1619",NULL
"30005","2018-02-01 09:54:22","375.684",NULL,NULL,NULL,NULL,NULL,"28.2772",NULL,"27.6",NULL,NULL,NULL,"10.3802",NULL,"9.29226",NULL
"30005","2018-02-01 09:57:22","405.422",NULL,NULL,NULL,NULL,NULL,"29.7596",NULL,"28.62",NULL,NULL,NULL,"11.393",NULL,"9.40202",NULL
"30005","2018-02-01 10:01:22","280.902",NULL,NULL,NULL,NULL,NULL,"27.3729",NULL,"26.2",NULL,NULL,NULL,"9.38295",NULL,"9.491",NULL
"30005","2018-02-01 10:07:22","248.094",NULL,NULL,NULL,NULL,NULL,"31.5883",NULL,"30.36",NULL,NULL,NULL,"11.2779",NULL,"8.93229",NULL
"30005","2018-02-01 10:12:22","377.172",NULL,NULL,NULL,NULL,NULL,"28.4669",NULL,"30.05",NULL,NULL,NULL,"10.0953",NULL,"8.79296",NULL
"30005","2018-02-01 10:16:22","283.918",NULL,NULL,NULL,NULL,NULL,"26.5843",NULL,"31.62",NULL,NULL,NULL,"10.1122",NULL,"9.42597",NULL
"30005","2018-02-01 10:19:22","263.744",NULL,NULL,NULL,NULL,NULL,"26.3456",NULL,"27.57",NULL,NULL,NULL,"9.57588",NULL,"9.62338",NULL
"30005","2018-02-01 10:20:24","255.07",NULL,NULL,NULL,NULL,NULL,"25.7639",NULL,"30.23",NULL,NULL,NULL,"9.11247",NULL,"9.19274",NULL
"30005","2018-02-01 12:11:29","247.532",NULL,NULL,NULL,NULL,NULL,"33.6343",NULL,"24.33",NULL,NULL,NULL,"0.315325",NULL,"9.38612",NULL
"30005","2018-02-01 12:13:32","238.656",NULL,NULL,NULL,NULL,NULL,"35.2834",NULL,"25.6",NULL,NULL,NULL,"-0.00498445",NULL,"9.49196",NULL
"30005","2018-02-01 12:14:29","238.056",NULL,NULL,NULL,NULL,NULL,"35.5951",NULL,"27.65",NULL,NULL,NULL,"0.348109",NULL,"9.73932",NULL
"30005","2018-02-01 12:18:29","247.628",NULL,NULL,NULL,NULL,NULL,"36.7017",NULL,"25.22",NULL,NULL,NULL,"0.718198",NULL,"9.84031",NULL
"30005","2018-02-01 12:20:29","240.978",NULL,NULL,NULL,NULL,NULL,"37.1903",NULL,"25.18",NULL,NULL,NULL,"0.494858",NULL,"9.64072",NULL
"30005","2018-02-01 12:21:29","240.213",NULL,NULL,NULL,NULL,NULL,"37.3766",NULL,"26.49",NULL,NULL,NULL,"0.322789",NULL,"9.59739",NULL
"30005","2018-02-01 12:23:29","231.441",NULL,NULL,NULL,NULL,NULL,"37.3851",NULL,"24.44",NULL,NULL,NULL,"0.126045",NULL,"9.59514",NULL
"30005","2018-02-01 12:24:29","234.435",NULL,NULL,NULL,NULL,NULL,"37.3805",NULL,"22.23",NULL,NULL,NULL,"0.213295",NULL,"9.57424",NULL
